issn,titulo,citacoes_jcr,citacoes_scimago,impacto_jcr,impacto_scimago
00664146,Annual Review of Astronomy and Astrophysics,36,210,26.3,13.67
0304405X,JOURNAL OF FINANCIAL ECONOMICS,11,311,10.4,13.655
00346527,REVIEW OF ECONOMIC STUDIES,7,165,5.9,13.609
1467937X,REVIEW OF ECONOMIC STUDIES,7,165,5.9,13.609
10974180,Immunity,33,455,25.5,13.578
10747613,Immunity,33,455,25.5,13.578
25201158,Nature Catalysis,47,136,42.8,13.315
01492195,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,18,260,25.4,13.08
1545861X,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,18,260,25.4,13.08
03060012,CHEMICAL SOCIETY REVIEWS,48,635,40.4,12.511
14604744,CHEMICAL SOCIETY REVIEWS,48,635,40.4,12.511
19457707,American Economic Journal-Macroeconomics,7,81,6.3,12.324
19457715,American Economic Journal-Macroeconomics,7,81,6.3,12.324
26628449,Nature Reviews Methods Primers,50,46,50.1,12.294
26671417,eScience,42,44,42.9,12.288
10976256,NATURE NEUROSCIENCE,25,479,21.2,12.261
15461726,NATURE NEUROSCIENCE,25,479,21.2,12.261
14702045,LANCET ONCOLOGY,42,408,41.6,12.179
14745488,LANCET ONCOLOGY,42,408,41.6,12.179
01406736,LANCET,106,895,98.4,12.113
1474547X,LANCET,106,895,98.4,12.113
10959203,SCIENCE,50,1336,44.7,11.902
00368075,SCIENCE,50,1336,44.7,11.902
26621347,Nature Cancer,24,61,23.5,11.9
15477185,JOURNAL OF MARKETING,15,284,11.5,11.799
00222429,JOURNAL OF MARKETING,15,284,11.5,11.799
15534006,Annual Review of Pathology-Mechanisms of Disease,35,147,28.4,11.748
15534014,Annual Review of Pathology-Mechanisms of Disease,35,147,28.4,11.748
25424351,Joule,44,187,38.6,11.724
25201131,Nature Electronics,39,109,33.7,11.667
23973358,Nature Reviews Chemistry,39,109,38.1,11.603
15504131,Cell Metabolism,31,345,27.7,11.406
19327420,Cell Metabolism,31,345,27.7,11.406
15292908,NATURE IMMUNOLOGY,28,440,27.7,11.274
15292916,NATURE IMMUNOLOGY,28,440,27.7,11.274
17494885,Nature Photonics,35,385,32.3,11.249
17545692,Energy & Environmental Science,34,436,32.4,10.935
17545706,Energy & Environmental Science,34,436,32.4,10.935
15221210,Physiological Reviews,45,388,29.9,10.821
00319333,Physiological Reviews,45,388,29.9,10.821
15277755,JOURNAL OF CLINICAL ONCOLOGY,37,624,42.1,10.639
0732183X,JOURNAL OF CLINICAL ONCOLOGY,37,624,42.1,10.639
15458636,MMWR Surveillance Summaries,30,121,37.3,10.275
19345909,Cell Stem Cell,22,305,19.8,10.253
18759777,Cell Stem Cell,22,305,19.8,10.253
22138595,Lancet Diabetes & Endocrinology,38,173,44.0,10.247
22138587,Lancet Diabetes & Endocrinology,38,173,44.0,10.247
2056676X,Nature Reviews Disease Primers,92,186,76.9,10.215
14338351,Living Reviews in Relativity,37,93,26.3,10.188
23673613,Living Reviews in Relativity,37,93,26.3,10.188
15291006,Psychological Science in the Public Interest,40,60,18.2,9.887
16000641,JOURNAL OF HEPATOLOGY,28,301,26.8,9.857
01688278,JOURNAL OF HEPATOLOGY,28,301,26.8,9.857
19475454,Annual Review of Condensed Matter Physics,18,87,14.3,9.821
19475462,Annual Review of Condensed Matter Physics,18,87,14.3,9.821
15454509,Annual Review of Biochemistry,22,321,12.1,9.745
00664154,Annual Review of Biochemistry,22,321,12.1,9.745
17595045,Nature Reviews Gastroenterology & Hepatology,65,193,45.9,9.741
17595053,Nature Reviews Gastroenterology & Hepatology,65,193,45.9,9.741
09354956,ASTRONOMY AND ASTROPHYSICS REVIEW,29,78,27.8,9.664
14320754,ASTRONOMY AND ASTROPHYSICS REVIEW,29,78,27.8,9.664
17401534,NATURE REVIEWS MICROBIOLOGY,81,372,69.2,9.639
17401526,NATURE REVIEWS MICROBIOLOGY,81,372,69.2,9.639
2662138X,Nature Reviews Earth & Environment,54,67,49.7,9.521
17487838,CELL RESEARCH,36,216,28.1,9.506
10010602,CELL RESEARCH,36,216,28.1,9.506
00664308,Annual Review of Psychology,27,279,23.6,9.438
15452085,Annual Review of Psychology,27,279,23.6,9.438
24682667,Lancet Public Health,29,90,25.4,9.434
10974164,Molecular Cell,16,443,14.5,9.332
10972765,Molecular Cell,16,443,14.5,9.332
09359648,ADVANCED MATERIALS,30,640,27.4,9.191
15214095,ADVANCED MATERIALS,30,640,27.4,9.191
03044076,Journal of Econometrics,6,188,9.9,9.161
18726895,Journal of Econometrics,6,188,9.9,9.161
24681253,Lancet Gastroenterology & Hepatology,29,105,30.9,8.957
19457790,American Economic Journal-Applied Economics,8,109,5.5,8.933
19457782,American Economic Journal-Applied Economics,8,109,5.5,8.933
19411383,Annual Review of Economics,9,76,6.8,8.925
19411391,Annual Review of Economics,9,76,6.8,8.925
14740508,ACTA NUMERICA,18,85,16.3,8.913
09624929,ACTA NUMERICA,18,85,16.3,8.913
14764679,NATURE CELL BIOLOGY,24,409,17.3,8.913
14657392,NATURE CELL BIOLOGY,24,409,17.3,8.913
19449208,REVIEWS OF GEOPHYSICS,32,191,25.2,8.853
87551209,REVIEWS OF GEOPHYSICS,32,191,25.2,8.853
2666979X,Cell Genomics,0,20,11.1,8.807
15583597,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,24,493,21.7,8.762
07351097,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,24,493,21.7,8.762
24709468,Science Immunology,19,106,17.6,8.761
15454479,Annual Review of Fluid Mechanics,26,214,25.4,8.751
00664189,Annual Review of Fluid Mechanics,26,214,25.4,8.751
16146832,Advanced Energy Materials,27,319,24.4,8.748
16146840,Advanced Energy Materials,27,319,24.4,8.748
20593635,Signal Transduction and Targeted Therapy,40,117,40.8,8.737
20959907,Signal Transduction and Targeted Therapy,40,117,40.8,8.737
19438206,Advances in Optics and Photonics,25,88,25.2,8.735
0147006X,Annual Review of Neuroscience,14,261,12.1,8.658
15454126,Annual Review of Neuroscience,14,261,12.1,8.658
26628643,eLight,27,22,27.2,8.65
20971710,eLight,27,22,27.2,8.65
14744465,LANCET NEUROLOGY,51,355,46.5,8.589
14744422,LANCET NEUROLOGY,51,355,46.5,8.589
00097322,CIRCULATION,32,674,35.5,8.415
15244539,CIRCULATION,32,674,35.5,8.415
00332909,PSYCHOLOGICAL BULLETIN,24,359,17.3,8.412
19391455,PSYCHOLOGICAL BULLETIN,24,359,17.3,8.412
17595010,Nature Reviews Cardiology,46,183,41.7,8.408
17595002,Nature Reviews Cardiology,46,183,41.7,8.408
17452473,Nature Physics,19,334,17.6,8.228
14764598,Molecular Cancer,31,196,27.7,8.222
14683288,GUT,24,348,23.0,8.052
00175749,GUT,24,348,23.0,8.052
20585276,Nature Microbiology,21,138,20.5,7.982
22132600,Lancet Respiratory Medicine,41,182,38.7,7.965
2157846X,Nature Biomedical Engineering,29,116,26.8,7.951
19457189,ENDOCRINE REVIEWS,26,307,22.0,7.922
0163769X,ENDOCRINE REVIEWS,26,307,22.0,7.922
15561380,Journal of Thoracic Oncology,16,178,21.0,7.879
15560864,Journal of Thoracic Oncology,16,178,21.0,7.879
14710048,NATURE REVIEWS NEUROSCIENCE,37,474,28.7,7.86
1471003X,NATURE REVIEWS NEUROSCIENCE,37,474,28.7,7.86
23742445,JAMA Oncology,25,173,22.5,7.843
23742437,JAMA Oncology,25,173,22.5,7.843
25225820,Nature Reviews Physics,44,70,44.8,7.833
22150374,Lancet Psychiatry,36,145,30.8,7.827
10970266,STRATEGIC MANAGEMENT JOURNAL,12,333,6.5,7.82
01432095,STRATEGIC MANAGEMENT JOURNAL,12,333,6.5,7.82
18732208,PROGRESS IN MATERIALS SCIENCE,41,235,33.6,7.796
00796425,PROGRESS IN MATERIALS SCIENCE,41,235,33.6,7.796
1573692X,Review of Finance,5,77,5.6,7.769
15723097,Review of Finance,5,77,5.6,7.769
15577368,ACM TRANSACTIONS ON GRAPHICS,9,251,7.8,7.766
07300301,ACM TRANSACTIONS ON GRAPHICS,9,251,7.8,7.766
19346069,Cell Host & Microbe,22,241,20.6,7.76
19313128,Cell Host & Microbe,22,241,20.6,7.76
10974199,Neuron,16,530,14.7,7.728
08966273,Neuron,16,530,14.7,7.728
17586798,Nature Climate Change,31,267,29.6,7.724
1758678X,Nature Climate Change,31,267,29.6,7.724
23270608,Annual Review of Organizational Psychology and Organizational Behavior,24,75,14.3,7.706
15452123,Annual Review of Plant Biology,28,298,21.3,7.555
15435008,Annual Review of Plant Biology,28,298,21.3,7.555
00346535,REVIEW OF ECONOMICS AND STATISTICS,8,200,7.6,7.553
15309142,REVIEW OF ECONOMICS AND STATISTICS,8,200,7.6,7.553
01492063,JOURNAL OF MANAGEMENT,14,280,9.3,7.539
15571211,JOURNAL OF MANAGEMENT,14,280,9.3,7.539
21598274,Cancer Discovery,32,229,29.7,7.533
21598290,Cancer Discovery,32,229,29.7,7.533
17568722,Journal of Hematology & Oncology,26,144,29.5,7.522
16144961,Living Reviews in Solar Physics,24,68,23.0,7.472
23673648,Living Reviews in Solar Physics,24,68,23.0,7.472
17542189,Nature Protocols,17,303,13.1,7.419
15452948,Annual Review of Genetics,14,200,8.7,7.366
00664197,Annual Review of Genetics,14,200,8.7,7.366
23989629,Nature Sustainability,29,115,25.7,7.366
15280012,Gastroenterology,25,466,25.7,7.362
00165085,Gastroenterology,25,466,25.7,7.362
15485951,Annual Review of Clinical Psychology,21,145,17.8,7.348
15485943,Annual Review of Clinical Psychology,21,145,17.8,7.348
25897500,Lancet Digital Health,27,66,23.8,7.277
17595037,Nature Reviews Endocrinology,46,203,31.0,7.274
17595029,Nature Reviews Endocrinology,46,203,31.0,7.274
26666758,Innovation,31,41,33.2,7.268
23808195,ACS Energy Letters,20,195,19.3,7.202
00920703,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,14,207,9.5,7.194
15527824,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,14,207,9.5,7.194
25225812,Nature Metabolism,21,75,18.9,7.192
0003486X,ANNALS OF MATHEMATICS,6,137,5.7,7.154
15459993,NATURE STRUCTURAL & MOLECULAR BIOLOGY,13,303,12.5,7.151
15459985,NATURE STRUCTURAL & MOLECULAR BIOLOGY,13,303,12.5,7.151
16181913,Publications Mathematiques de l IHES,5,49,6.0,7.086
00738301,Publications Mathematiques de l IHES,5,49,6.0,7.086
03051048,NUCLEIC ACIDS RESEARCH,16,637,16.6,7.048
13624962,NUCLEIC ACIDS RESEARCH,16,637,16.6,7.048
17554330,Nature Chemistry,22,291,19.2,6.94
17554349,Nature Chemistry,22,291,19.2,6.94
18737560,EUROPEAN UROLOGY,19,261,25.3,6.928
03022838,EUROPEAN UROLOGY,19,261,25.3,6.928
00664278,Annual Review of Physiology,22,237,15.7,6.87
15451585,Annual Review of Physiology,22,237,15.7,6.87
00221007,JOURNAL OF EXPERIMENTAL MEDICINE,14,490,12.6,6.838
15409538,JOURNAL OF EXPERIMENTAL MEDICINE,14,490,12.6,6.838
0927796X,MATERIALS SCIENCE & ENGINEERING R-REPORTS,34,172,31.6,6.822
25208136,Electrochemical Energy Reviews,30,62,28.4,6.791
25208489,Electrochemical Energy Reviews,30,62,28.4,6.791
15602745,FUNGAL DIVERSITY,24,123,24.5,6.787
18789129,FUNGAL DIVERSITY,24,123,24.5,6.787
08938512,CLINICAL MICROBIOLOGY REVIEWS,33,331,19.0,6.762
10986618,CLINICAL MICROBIOLOGY REVIEWS,33,331,19.0,6.762
15527425,ORGANIZATIONAL RESEARCH METHODS,12,138,8.9,6.712
10944281,ORGANIZATIONAL RESEARCH METHODS,12,138,8.9,6.712
09205691,INTERNATIONAL JOURNAL OF COMPUTER VISION,14,221,11.6,6.668
15731405,INTERNATIONAL JOURNAL OF COMPUTER VISION,14,221,11.6,6.668
15424774,Journal of the European Economic Association,4,119,3.9,6.658
15424766,Journal of the European Economic Association,4,119,3.9,6.658
1475679X,JOURNAL OF ACCOUNTING RESEARCH,7,169,4.9,6.625
00218456,JOURNAL OF ACCOUNTING RESEARCH,7,169,4.9,6.625
24709476,Science Robotics,33,101,26.1,6.601
24519294,Chem,23,144,19.1,6.556
19457731,American Economic Journal-Economic Policy,7,88,5.6,6.519
1945774X,American Economic Journal-Economic Policy,7,88,5.6,6.519
19466234,Science Translational Medicine,16,284,15.8,6.51
19466242,Science Translational Medicine,16,284,15.8,6.51
23116706,Nano-Micro Letters,26,116,31.6,6.484
21505551,Nano-Micro Letters,26,116,31.6,6.484
15308995,Annual Review of Cell and Developmental Biology,14,240,11.4,6.456
10810706,Annual Review of Cell and Developmental Biology,14,240,11.4,6.456
19391854,JOURNAL OF APPLIED PSYCHOLOGY,11,340,9.4,6.453
00219010,JOURNAL OF APPLIED PSYCHOLOGY,11,340,9.4,6.453
10886834,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,3,110,3.5,6.428
08940347,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,3,110,3.5,6.428
15228517,NEURO-ONCOLOGY,14,163,16.4,6.348
15235866,NEURO-ONCOLOGY,14,163,16.4,6.348
14744457,LANCET INFECTIOUS DISEASES,32,291,36.4,6.329
14733099,LANCET INFECTIOUS DISEASES,32,291,36.4,6.329
20459920,Review of Asset Pricing Studies,7,29,2.2,6.315
20459939,Review of Asset Pricing Studies,7,29,2.2,6.315
03600300,ACM COMPUTING SURVEYS,21,213,23.8,6.28
15577341,ACM COMPUTING SURVEYS,21,213,23.8,6.28
25152459,Advances in Methods and Practices in Psychological Science,19,42,15.6,6.269
25152467,Advances in Methods and Practices in Psychological Science,19,42,15.6,6.269
21686238,JAMA Psychiatry,22,408,22.5,6.241
2168622X,JAMA Psychiatry,22,408,22.5,6.241
17594766,Nature Reviews Neurology,43,207,28.2,6.237
17594758,Nature Reviews Neurology,43,207,28.2,6.237
14321238,INTENSIVE CARE MEDICINE,24,237,27.1,6.232
03424642,INTENSIVE CARE MEDICINE,24,237,27.1,6.232
23806583,JAMA Cardiology,16,113,14.8,6.231
23806591,JAMA Cardiology,16,113,14.8,6.231
2214109X,Lancet Global Health,26,136,19.9,6.221
2772834X,Advanced Powder Materials,28,28,28.6,6.197
21686157,JAMA Neurology,20,272,20.4,6.194
21686149,JAMA Neurology,20,272,20.4,6.194
00034967,ANNALS OF THE RHEUMATIC DISEASES,18,288,20.3,6.138
14682060,ANNALS OF THE RHEUMATIC DISEASES,18,288,20.3,6.138
23973374,Nature Human Behaviour,20,98,21.4,6.097
15582256,PROCEEDINGS OF THE IEEE,18,325,23.2,6.085
00189219,PROCEEDINGS OF THE IEEE,18,325,23.2,6.085
0734306X,JOURNAL OF LABOR ECONOMICS,5,131,3.9,6.084
15375307,JOURNAL OF LABOR ECONOMICS,5,131,3.9,6.084
19328346,Foundations and Trends in Signal Processing,6,20,1.7,6.069
19328354,Foundations and Trends in Signal Processing,6,20,1.7,6.069
15210081,PHARMACOLOGICAL REVIEWS,22,254,19.3,6.05
00316997,PHARMACOLOGICAL REVIEWS,22,254,19.3,6.05
09628924,TRENDS IN CELL BIOLOGY,19,263,13.0,6.002
18793088,TRENDS IN CELL BIOLOGY,19,263,13.0,6.002
00222437,JOURNAL OF MARKETING RESEARCH,7,202,5.1,5.984
15477193,JOURNAL OF MARKETING RESEARCH,7,202,5.1,5.984
16742052,Molecular Plant,21,162,17.1,5.967
17529867,Molecular Plant,21,162,17.1,5.967
13697021,Materials Today,25,228,21.1,5.949
18734103,Materials Today,25,228,21.1,5.949
00014842,ACCOUNTS OF CHEMICAL RESEARCH,20,453,16.4,5.948
15204898,ACCOUNTS OF CHEMICAL RESEARCH,20,453,16.4,5.948
25225839,Nature Machine Intelligence,26,67,18.8,5.94
1759507X,Nature Reviews Nephrology,40,161,28.6,5.939
17595061,Nature Reviews Nephrology,40,161,28.6,5.939
15383598,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,66,768,63.1,5.928
00987484,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,66,768,63.1,5.928
15361284,IEEE WIRELESS COMMUNICATIONS,11,188,10.9,5.926
13509462,PROGRESS IN RETINAL AND EYE RESEARCH,20,189,18.6,5.923
18731635,PROGRESS IN RETINAL AND EYE RESEARCH,20,189,18.6,5.923
13889842,EUROPEAN JOURNAL OF HEART FAILURE,16,171,16.9,5.919
18790844,EUROPEAN JOURNAL OF HEART FAILURE,16,171,16.9,5.919
00664170,Annual Review of Entomology,21,230,15.0,5.909
15454487,Annual Review of Entomology,21,230,15.0,5.909
21603308,Physical Review X,12,183,11.6,5.896
17520908,Nature Geoscience,18,263,15.7,5.874
17520894,Nature Geoscience,18,263,15.7,5.874
15345807,DEVELOPMENTAL CELL,11,295,10.7,5.828
18781551,DEVELOPMENTAL CELL,11,295,10.7,5.828
10942939,Annual Review of Political Science,14,129,9.7,5.826
15451577,Annual Review of Political Science,14,129,9.7,5.826
10422587,ENTREPRENEURSHIP THEORY AND PRACTICE,11,198,7.8,5.819
15406520,ENTREPRENEURSHIP THEORY AND PRACTICE,11,198,7.8,5.819
00346543,REVIEW OF EDUCATIONAL RESEARCH,16,186,8.3,5.772
19351046,REVIEW OF EDUCATIONAL RESEARCH,16,186,8.3,5.772
22131787,JACC-Heart Failure,12,106,10.3,5.724
22131779,JACC-Heart Failure,12,106,10.3,5.724
26628465,Nature Aging,17,30,17.0,5.705
19355548,DIABETES CARE,14,418,14.8,5.694
01495992,DIABETES CARE,14,418,14.8,5.694
25673165,InfoMat,21,69,22.7,5.672
18737811,CLINICAL PSYCHOLOGY REVIEW,15,255,13.7,5.653
02727358,CLINICAL PSYCHOLOGY REVIEW,15,255,13.7,5.653
18726305,Information Fusion,16,156,14.7,5.647
15662535,Information Fusion,16,156,14.7,5.647
07322399,MARKETING SCIENCE,5,153,4.0,5.643
1526548X,MARKETING SCIENCE,5,153,4.0,5.643
21682275,IEEE Transactions on Cybernetics,10,185,9.4,5.641
21682267,IEEE Transactions on Cybernetics,10,185,9.4,5.641
10477039,ORGANIZATION SCIENCE,6,281,4.9,5.632
17456916,Perspectives on Psychological Science,12,181,10.5,5.597
17456924,Perspectives on Psychological Science,12,181,10.5,5.597
19361238,Annual Review of Biophysics,12,172,10.4,5.561
1936122X,Annual Review of Biophysics,12,172,10.4,5.561
15524469,Nature Chemical Biology,14,259,12.9,5.558
15524450,Nature Chemical Biology,14,259,12.9,5.558
27310574,Nature Reviews Psychology,16,17,16.8,5.549
15452050,Annual Review of Environment and Resources,18,147,15.5,5.501
15435938,Annual Review of Environment and Resources,18,147,15.5,5.501
1616301X,ADVANCED FUNCTIONAL MATERIALS,19,402,18.5,5.496
21686211,JAMA Pediatrics,20,221,24.7,5.494
21686203,JAMA Pediatrics,20,221,24.7,5.494
02614189,EMBO JOURNAL,11,429,9.4,5.489
14602075,EMBO JOURNAL,11,429,9.4,5.489
15205126,Journal of the American Chemical Society,14,703,14.4,5.489
00027863,Journal of the American Chemical Society,14,703,14.4,5.489
15737136,REVIEW OF ACCOUNTING STUDIES,6,97,4.8,5.481
13806653,REVIEW OF ACCOUNTING STUDIES,6,97,4.8,5.481
1545326X,Annual Review of Medicine,14,176,15.1,5.48
00664219,Annual Review of Medicine,14,176,15.1,5.48
15265498,M&SOM-Manufacturing & Service Operations Management,6,110,4.8,5.466
15234614,M&SOM-Manufacturing & Service Operations Management,6,110,4.8,5.466
01637525,Annual Review of Public Health,25,178,21.4,5.44
15452093,Annual Review of Public Health,25,178,21.4,5.44
00251909,MANAGEMENT SCIENCE,6,290,4.6,5.438
15265501,MANAGEMENT SCIENCE,6,290,4.6,5.438
00935301,JOURNAL OF CONSUMER RESEARCH,8,220,5.7,5.428
15375277,JOURNAL OF CONSUMER RESEARCH,8,220,5.7,5.428
20469136,Review of Corporate Finance Studies,6,24,1.9,5.418
20469128,Review of Corporate Finance Studies,6,24,1.9,5.418
1543592X,Annual Review of Ecology Evolution and Systematics,16,247,11.2,5.403
26665247,Lancet Microbe,23,42,20.9,5.392
24058297,Energy Storage Materials,18,158,18.9,5.374
15361276,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,8,251,8.9,5.371
15582248,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,8,251,8.9,5.371
25775421,Advanced Photonics,16,42,20.6,5.361
17413044,ORGANIZATION STUDIES,6,179,4.9,5.349
01708406,ORGANIZATION STUDIES,6,179,4.9,5.349
1073449X,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,20,423,19.3,5.336
15354970,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,20,423,19.3,5.336
17444292,Molecular Systems Biology,10,172,8.5,5.305
14337851,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16,640,16.1,5.3
15213773,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16,640,16.1,5.3
25897780,EnergyChem,25,40,22.2,5.274
15280020,BLOOD,19,525,21.0,5.272
00064971,BLOOD,19,525,21.0,5.272
1089778X,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,15,210,11.7,5.209
17501326,Molecular Neurodegeneration,16,115,14.9,5.205
20777019,Mycosphere,9,40,10.0,5.204
20777000,Mycosphere,9,40,10.0,5.204
26379368,Carbon Energy,19,53,19.5,5.202
13616633,REPORTS ON PROGRESS IN PHYSICS,18,247,19.0,5.195
00344885,REPORTS ON PROGRESS IN PHYSICS,18,247,19.0,5.195
20477538,Light-Science & Applications,20,153,20.6,5.187
01695347,TRENDS IN ECOLOGY & EVOLUTION,18,381,16.7,5.165
18728383,TRENDS IN ECOLOGY & EVOLUTION,18,381,16.7,5.165
2055026X,Nature Plants,17,131,15.8,5.134
20550278,Nature Plants,17,131,15.8,5.134
00072303,BROOKINGS PAPERS ON ECONOMIC ACTIVITY,7,96,2.7,5.133
15334465,BROOKINGS PAPERS ON ECONOMIC ACTIVITY,7,96,2.7,5.133
18733883,Applied Catalysis B-Environment and Energy,18,328,20.2,5.112
09263373,Applied Catalysis B-Environment and Energy,18,328,20.2,5.112
00333190,PSYCHOTHERAPY AND PSYCHOSOMATICS,17,117,16.3,5.104
14230348,PSYCHOTHERAPY AND PSYCHOSOMATICS,17,117,16.3,5.104
15375943,AMERICAN POLITICAL SCIENCE REVIEW,7,203,5.9,5.07
00030554,AMERICAN POLITICAL SCIENCE REVIEW,7,203,5.9,5.07
25425196,Lancet Planetary Health,25,72,24.1,5.057
2397334X,Nature Ecology & Evolution,16,118,13.9,5.056
25902393,Matter,18,88,17.3,5.048
25902385,Matter,18,88,17.3,5.048
22136657,Analytic Methods in Accident Research,12,54,12.5,5.02
23256826,Foundations and Trends in Systems and Control,7,19,5.5,5.016
23256818,Foundations and Trends in Systems and Control,7,19,5.5,5.016
15495477,GENES & DEVELOPMENT,10,479,7.5,5.015
08909369,GENES & DEVELOPMENT,10,479,7.5,5.015
02709139,HEPATOLOGY,15,403,12.9,5.011
15273350,HEPATOLOGY,15,403,12.9,5.011
14602105,JNCI-Journal of the National Cancer Institute,10,387,9.9,4.986
00278874,JNCI-Journal of the National Cancer Institute,10,387,9.9,4.986
1756994X,Genome Medicine,12,123,10.4,4.975
26667762,Lancet Regional Health-Europe,13,44,13.6,4.955
26913399,PRX Quantum,9,46,9.3,4.954
15722740,Foundations and Trends in Computer Graphics and Vision,10,27,3.8,4.952
25233548,Cancer Communications,16,79,20.1,4.95
